stock_code,pre_close
001234,2742
920725,3558
688765,6971
002026,1434
300748,3382
300620,15742
301252,2852
002036,1159
920735,3456
300758,1316
000656,148
603385,696
688775,24080
688048,14019
600976,3543
300065,1776
600197,1406
002673,799
300884,1498
688130,2126
920008,3072
603395,2965
920160,2455
300075,1470
600966,619
688058,2689
002663,197
600187,256
920018,2744
300894,1134
688120,15600
920981,3262
300303,698
301609,4214
600389,2512
002515,622
600399,549
688256,132620
300313,835
688246,2390
002238,814
002340,802
300556,1872
688403,1740
000520,506
300546,2447
002228,595
601827,833
000530,709
002350,830
600330,1304
600248,361
603122,2474
688387,962
600320,473
603132,1442
600258,1658
002281,7112
001872,1993
000599,628
601117,768
603777,1434
300497,1519
002291,641
600575,357
603767,2329
920592,4008
300487,6162
601107,632
301383,3455
000589,499
603569,768
300689,4490
600603,663
000797,413
002906,3113
601319,909
603579,2321
300699,3138
600613,626
301393,5030
300945,1719
000933,2688
002916,22929
600056,1048
688189,801
688199,2458
920832,755
688800,8026
000923,2013
300927,2364
688093,3665
000951,1668
000829,1077
000839,263
603226,3205
300937,3435
603236,9497
688083,6681
601456,1038
600661,1016
002185,1112
600719,581
301299,5291
300793,1615
002195,687
300783,2359
301289,5848
600671,1717
301087,4535
001387,1421
600507,582
605259,2217
301097,5487
600517,599
603038,1599
601658,540
600352,1077
603150,4013
605398,2802
603028,794
688519,7066
300534,970
688509,505
002322,1200
605388,798
301156,1754
002332,907
000552,235
920274,3776
603918,1521
603081,1386
601799,12300
603860,2999
688234,9195
002577,1788
600293,314
300219,729
603091,8540
300209,573
603908,2341
300371,1256
002567,438
601789,503
920112,3784
002769,1152
300007,4716
600283,912
000890,554
002779,11241
002611,1782
300017,1015
688152,4071
000880,2795
000061,979
300652,5112
002601,1889
001256,2101
301358,6716
002044,542
688707,1370
301220,3759
300642,1883
605186,1980
002054,743
688717,6432
301230,2988
301348,2038
605196,3192
605162,866
603556,3473
002841,3887
601336,7122
600744,602
002939,1016
601326,354
600754,2495
002929,3917
603303,1303
301491,5575
300802,1878
600888,798
600111,4562
600079,1905
300812,3040
603313,956
603065,838
600101,935
300385,630
002593,611
603075,2179
