stock_code,pre_close
300391,167
301611,7627
300189,713
920023,591
688668,11892
688627,24959
300086,1322
300506,379
300321,5297
300344,128
688720,7100
688679,2689
301338,8500
688125,9549
300236,6640
920932,2400
301486,11371
300548,15697
300205,419
301023,4124
301377,12636
301369,13735
301235,4206
600179,447
688072,36165
300774,1941
002523,435
600759,293
002596,589
002228,492
600515,525
000753,854
002969,668
000955,668
603300,778
601212,570
002361,899
002414,1447
000070,1294
002910,1502
603928,1667
002666,603
000886,735
002320,1262
000571,615
001217,1481
600487,2614
601231,2899
002284,1505
603069,2625
603868,3649
000551,1253
605358,3670
603380,3913
603163,6455
003021,11219
605167,1265
601869,12705
603696,2222
002678,539
603959,627
002175,473
601888,9109
002169,957
603929,9846
600580,4381
603977,1563
002151,3643
002046,4359
001336,2895
000572,936
603344,3226
002518,4987
002792,3535
603458,870
002810,1454
002800,1542
001331,2875
600693,1874
600376,551
002163,1599
002769,1180
000735,1048
002951,1467
601969,1147
002788,1682
605377,872
603535,1159
000796,707
603618,861
000567,685
000505,818
601208,2421
000566,796
000981,365
601068,553
601118,608
000407,509
601106,421
688037,14500
300817,2083
000523,410
688519,6565
600221,190
300567,8400
688613,2204
688501,2575
920092,4747
300648,5516
300395,9724
603067,2994
920304,1449
603228,7287
300276,936
301118,2551
688486,7450
300739,1811
000657,2964
300134,1223
300604,9457
600183,6557
301587,2368
688455,1935
002812,4895
603209,1661
002842,1371
300984,6830
688585,10613
002384,8182
920580,1653
688147,6769
300903,1890
920885,2870
600118,6346
002853,2431
301086,10615
300358,994
300552,3262
300308,61750
688233,6619
301088,1650
600684,494
688676,8971
600960,580
002080,3559
600226,518
688392,12282
300316,3733
605318,7134
301276,2793
301295,2839
300672,10242
300139,3112
605598,5066
600522,1972
688051,3998
002428,2909
300938,3489
002851,8630
688733,3066
300201,593
300852,3778
002716,670
000819,1695
301200,11907
688403,1773
688531,6640
688652,10760
688629,8289
300842,6421
600201,1601
003040,1959
600751,403
603169,1068
000859,960
300969,11218
688090,3986
300469,6788
301123,6044
300502,46299
003031,7824
300006,517
600105,2154
600459,1997
600889,1575
603203,3248
688157,3830
002493,1045
600686,1712
000988,7978
688727,4830
600490,806
301099,4421
601588,186
688630,13349
300718,8324
002916,22600
920100,6760
688691,10701
300749,1199
688082,17729
301002,3424
300658,1242
301095,7063
300843,5233
605376,6545
920599,2129
301548,5599
002339,959
001212,4702
688372,10294
300054,3863
601133,1623
000703,879
688981,12045
688376,5350
002536,3040
600367,1815
301026,2875
301196,7510
603083,11758
002364,2465
000959,485
000510,1120
