stock_code,pre_close
300065,1711
300748,3333
002026,1408
920725,3470
920160,2535
920018,2814
600976,3545
688130,2130
601827,827
001234,2865
688058,2682
600187,268
000520,513
300303,680
920735,3500
000530,773
300075,1488
688775,23949
300894,1153
600330,1180
002340,758
300313,850
301609,4198
688048,13600
301252,2710
300556,1894
002663,203
002238,935
688403,1656
688120,15210
600399,553
600389,2430
300758,1249
603385,687
002673,798
920008,3150
000656,148
603395,2944
002350,851
300620,15600
688246,2553
920981,3295
600966,614
688256,126800
600197,1415
600248,359
300884,1436
300546,2469
688765,7231
002515,633
688387,1021
603122,2910
002228,447
600258,1712
600320,479
601117,770
603132,1434
001872,1995
603777,1489
300497,1400
600575,358
000599,601
920592,4072
002281,6848
300487,6074
603569,775
002291,636
300689,4484
601107,621
603767,2333
301383,3391
002906,3047
000589,509
600603,650
600613,640
301393,5018
600056,1063
601319,914
300945,1778
002916,21275
000933,2640
603579,2360
000797,416
603226,2990
000923,1930
688093,3490
300699,3053
688189,827
688199,2385
601456,1051
300955,4034
300927,2369
002185,1070
000951,1700
600671,1751
688800,7542
002195,673
603236,9201
600507,583
000829,1109
301289,5904
688083,6663
300793,1579
300937,3471
000839,265
301097,5514
600661,1056
301299,5296
605259,2143
600719,578
001387,1431
920832,760
300783,2423
603028,757
002322,1210
603038,1600
600352,1074
301087,4583
601658,542
605388,839
688509,491
688519,5977
603150,3828
300534,998
600517,588
688234,8297
002332,919
605398,2805
301156,1768
603860,2977
002577,1788
920274,3393
600283,910
300219,702
000061,964
603091,7573
603918,1540
300007,4583
603081,1373
688152,4119
603908,2376
000890,583
000552,236
002567,443
002611,1768
002601,1834
301358,6265
300209,571
002779,11100
601799,12350
920112,3850
300017,998
688717,6454
601336,7116
300652,5039
600293,307
000880,2600
688707,1335
301220,3625
300371,1236
002769,1073
601789,496
301348,2008
002054,744
301230,3071
605162,865
002851,8046
603556,3310
600744,597
300642,1882
605186,1988
301491,5520
601326,358
002929,3853
600079,1922
002044,607
600754,2585
002841,3772
605196,3247
600111,4550
603065,832
300802,1820
600888,788
001256,2070
300385,611
603313,979
002593,594
603075,2193
300395,8918
002939,1009
600422,1246
688485,1724
601615,1385
600267,1029
603630,2061
300812,2803
603758,1846
301636,4942
601128,724
600101,922
920239,3244
601138,5830
002583,1091
688311,3964
002452,811
300244,1624
920351,2341
003020,2683
688269,3819
603955,3027
300569,574
605580,3298
002442,629
301626,17100
003030,2138
300254,1024
002207,733
300411,1150
300579,2874
603689,822
688301,10666
002980,2083
601818,356
603699,4930
920504,2458
301073,2730
000701,671
300777,3466
601808,1372
001373,2970
002161,716
002171,1214
300401,1547
300767,2048
002019,1200
002217,312
301550,10665
301063,2374
688279,18282
002734,1621
920662,2837
000711,171
002990,2750
301305,2147
688622,12060
000679,889
600685,2737
000669,305
002724,681
600959,342
688077,3064
600831,436
300122,1933
600853,421
600821,524
301367,8329
920037,8830
002746,611
300132,806
920027,2335
002009,1554
688015,2201
688005,2881
688067,2496
002103,1008
301428,3299
001269,2383
002756,4854
301315,5680
600843,1157
001311,3005
920768,1239
300150,531
300140,635
301377,11320
300715,1067
001279,3453
301522,3486
688526,1569
001301,7871
688728,1512
600581,337
002275,1474
300705,1550
300473,2803
920566,1190
300463,1148
301001,2866
920576,8604
000415,408
603927,1891
688373,616
600538,628
600215,687
603937,1200
