stock_code,pre_close
688668,11892
300189,713
300391,167
920023,591
301611,7627
300086,1322
688627,24959
300344,128
300506,379
301235,4206
300321,5297
688720,7100
300236,6640
688125,9549
688679,2689
301338,8500
920932,2400
300548,15697
301486,11371
301023,4124
300205,419
301377,12636
301369,13735
688072,36165
002523,435
600759,293
300774,1941
600179,447
002596,589
002228,492
000753,854
600515,525
002969,668
000955,668
002414,1447
002361,899
603300,778
601212,570
002910,1502
000070,1294
002666,603
000886,735
603928,1667
001217,1481
002320,1262
601231,2899
600487,2614
000571,615
603069,2625
002284,1505
605358,3670
002788,1682
603163,6455
000551,1253
603380,3913
603868,3649
003021,11219
603959,627
605167,1265
603696,2222
601869,12705
002678,539
002175,473
002151,3643
603929,9846
601888,9109
002169,957
603977,1563
600580,4381
002046,4359
001336,2895
603344,3226
002518,4987
000572,936
002792,3535
002800,1542
603458,870
002810,1454
001331,2875
600376,551
601969,1147
002163,1599
600693,1874
002769,1180
002951,1467
000735,1048
603618,861
603535,1159
605377,872
000796,707
000567,685
601068,553
000505,818
601208,2421
000566,796
601118,608
000981,365
688037,14500
300817,2083
000523,410
601106,421
600221,190
000407,509
688519,6565
300567,8400
688613,2204
688501,2575
920092,4747
300395,9724
920304,1449
300648,5516
603067,2994
300739,1811
603228,7287
300276,936
301118,2551
688486,7450
301587,2368
000657,2964
600183,6557
300134,1223
300604,9457
002842,1371
300984,6830
002812,4895
688455,1935
688585,10613
603209,1661
002384,8182
920580,1653
688147,6769
300903,1890
600118,6346
920885,2870
002853,2431
301086,10615
300358,994
300552,3262
300308,61750
301088,1650
688233,6619
600684,494
688676,8971
600960,580
002080,3559
600226,518
688392,12282
300672,10242
301276,2793
300316,3733
605318,7134
300139,3112
301295,2839
605598,5066
688051,3998
600522,1972
002428,2909
002851,8630
300938,3489
688733,3066
300852,3778
002716,670
300201,593
301200,11907
688652,10760
000819,1695
688403,1773
688531,6640
688629,8289
600201,1601
600751,403
300842,6421
603169,1068
003040,1959
300969,11218
000859,960
688090,3986
003031,7824
300469,6788
301123,6044
300502,46299
300006,517
600105,2154
600889,1575
603203,3248
002493,1045
600686,1712
600459,1997
688157,3830
301099,4421
600490,806
000988,7978
688727,4830
601588,186
920100,6760
300718,8324
002916,22600
688630,13349
300749,1199
688691,10701
301002,3424
300658,1242
688082,17729
301095,7063
